,date,home_team,score,away_team
294,18-09-2023,Granada,2 - 4,Girona
295,24-09-2023,Las Palmas,1 - 0,Granada
296,28-09-2023,Granada,1 - 1,Betis
297,01-10-2023,Almeria,3 - 3,Granada
298,08-10-2023,Granada,2 - 2,Barcelona
299,20-10-2023,Osasuna,2 - 0,Granada
300,30-10-2023,Granada,2 - 3,Villarreal
301,05-11-2023,Valencia,1 - 0,Granada
302,11-11-2023,Granada,1 - 1,Getafe
303,24-11-2023,Alaves,3 - 1,Granada
304,02-12-2023,Real Madrid,2 - 0,Granada
305,11-12-2023,Granada,1 - 1,Ath Bilbao
306,16-12-2023,Celta,1 - 0,Granada
307,19-12-2023,Granada,0 - 3,Sevilla
308,03-01-2024,Granada,2 - 0,Cadiz
309,13-01-2024,Betis,1 - 0,Granada
310,22-01-2024,Granada,0 - 1,Ath Madrid
311,29-01-2024,Getafe,2 - 0,Granada
312,03-02-2024,Granada,1 - 1,Las Palmas
313,11-02-2024,Barcelona,3 - 3,Granada
314,18-02-2024,Granada,1 - 1,Almeria
315,03-03-2024,Villarreal,5 - 1,Granada
316,09-03-2024,Granada,2 - 3,Sociedad
317,16-03-2024,Mallorca,? - ?,Granada
318,12-08-2023,Las Palmas,1 - 1,Mallorca
319,18-08-2023,Valencia,1 - 0,Las Palmas
320,25-08-2023,Las Palmas,0 - 0,Sociedad
321,03-09-2023,Girona,1 - 0,Las Palmas
322,17-09-2023,Sevilla,1 - 0,Las Palmas
323,24-09-2023,Las Palmas,1 - 0,Granada
324,27-09-2023,Real Madrid,2 - 0,Las Palmas
325,02-10-2023,Las Palmas,2 - 1,Celta
326,08-10-2023,Villarreal,1 - 2,Las Palmas
327,22-10-2023,Las Palmas,0 - 1,Vallecano
328,28-10-2023,Almeria,1 - 2,Las Palmas
329,03-11-2023,Las Palmas,2 - 1,Ath Madrid
330,11-11-2023,Osasuna,1 - 1,Las Palmas
331,26-11-2023,Betis,1 - 0,Las Palmas
332,01-12-2023,Las Palmas,2 - 0,Getafe
333,09-12-2023,Alaves,0 - 1,Las Palmas
334,17-12-2023,Las Palmas,1 - 1,Cadiz
335,20-12-2023,Ath Bilbao,1 - 0,Las Palmas
336,04-01-2024,Las Palmas,1 - 2,Barcelona
337,13-01-2024,Las Palmas,3 - 0,Villarreal
338,20-01-2024,Vallecano,0 - 2,Las Palmas
339,27-01-2024,Las Palmas,1 - 2,Real Madrid
340,03-02-2024,Granada,1 - 1,Las Palmas
341,10-02-2024,Las Palmas,2 - 0,Valencia
342,17-02-2024,Ath Madrid,5 - 0,Las Palmas
343,25-02-2024,Las Palmas,1 - 1,Osasuna
344,02-03-2024,Getafe,3 - 3,Las Palmas
345,10-03-2024,Las Palmas,0 - 2,Ath Bilbao
346,17-03-2024,Las Palmas,? - ?,Almeria
347,12-08-2023,Las Palmas,1 - 1,Mallorca
348,18-08-2023,Mallorca,0 - 1,Villarreal
349,26-08-2023,Granada,3 - 2,Mallorca
350,03-09-2023,Mallorca,0 - 0,Ath Bilbao
351,16-09-2023,Celta,0 - 1,Mallorca
352,23-09-2023,Girona,5 - 3,Mallorca
353,26-09-2023,Mallorca,2 - 2,Barcelona
354,30-09-2023,Vallecano,2 - 2,Mallorca
355,07-10-2023,Mallorca,1 - 1,Valencia
356,21-10-2023,Sociedad,1 - 0,Mallorca
357,28-10-2023,Mallorca,0 - 0,Getafe
358,04-11-2023,Betis,2 - 0,Mallorca
359,25-11-2023,Ath Madrid,1 - 0,Mallorca
360,29-11-2023,Mallorca,1 - 1,Cadiz
361,03-12-2023,Mallorca,0 - 0,Alaves
362,09-12-2023,Mallorca,1 - 0,Sevilla
363,17-12-2023,Almeria,0 - 0,Mallorca
364,21-12-2023,Mallorca,3 - 2,Osasuna
365,03-01-2024,Real Madrid,1 - 0,Mallorca
366,13-01-2024,Mallorca,1 - 1,Celta
367,20-01-2024,Villarreal,1 - 1,Mallorca
368,27-01-2024,Mallorca,0 - 1,Betis
369,02-02-2024,Ath Bilbao,4 - 0,Mallorca
370,11-02-2024,Mallorca,2 - 1,Vallecano
371,18-02-2024,Mallorca,1 - 2,Sociedad
372,24-02-2024,Alaves,1 - 1,Mallorca
373,03-03-2024,Mallorca,1 - 0,Girona
374,08-03-2024,Barcelona,1 - 0,Mallorca
375,16-03-2024,Mallorca,? - ?,Granada
376,13-08-2023,Celta,0 - 2,Osasuna
377,19-08-2023,Osasuna,0 - 2,Ath Bilbao
378,27-08-2023,Valencia,1 - 2,Osasuna
379,03-09-2023,Osasuna,1 - 2,Barcelona
380,17-09-2023,Getafe,3 - 2,Osasuna
381,23-09-2023,Osasuna,0 - 0,Sevilla
382,28-09-2023,Osasuna,0 - 2,Ath Madrid
383,01-10-2023,Alaves,0 - 2,Osasuna
384,07-10-2023,Real Madrid,4 - 0,Osasuna
385,20-10-2023,Osasuna,2 - 0,Granada
386,29-10-2023,Betis,2 - 1,Osasuna
387,04-11-2023,Osasuna,2 - 4,Girona
388,11-11-2023,Osasuna,1 - 1,Las Palmas
389,26-11-2023,Villarreal,3 - 1,Osasuna
390,02-12-2023,Osasuna,1 - 1,Sociedad
391,10-12-2023,Cadiz,1 - 1,Osasuna
392,15-12-2023,Osasuna,1 - 0,Vallecano
393,21-12-2023,Mallorca,3 - 2,Osasuna
394,04-01-2024,Osasuna,1 - 0,Almeria
395,21-01-2024,Osasuna,3 - 2,Getafe
396,28-01-2024,Sevilla,1 - 1,Osasuna
397,31-01-2024,Barcelona,1 - 0,Osasuna
398,04-02-2024,Osasuna,0 - 3,Celta
399,10-02-2024,Sociedad,0 - 1,Osasuna
400,17-02-2024,Osasuna,2 - 0,Cadiz
401,25-02-2024,Las Palmas,1 - 1,Osasuna
402,04-03-2024,Osasuna,1 - 0,Alaves
403,09-03-2024,Girona,2 - 0,Osasuna
404,16-03-2024,Osasuna,? - ?,Real Madrid
405,12-08-2023,Ath Bilbao,0 - 2,Real Madrid
406,19-08-2023,Almeria,1 - 3,Real Madrid
407,25-08-2023,Celta,0 - 1,Real Madrid
408,02-09-2023,Real Madrid,2 - 1,Getafe
409,17-09-2023,Real Madrid,2 - 1,Sociedad
410,24-09-2023,Ath Madrid,3 - 1,Real Madrid
411,27-09-2023,Real Madrid,2 - 0,Las Palmas
412,30-09-2023,Girona,0 - 3,Real Madrid
413,07-10-2023,Real Madrid,4 - 0,Osasuna
414,21-10-2023,Sevilla,1 - 1,Real Madrid
415,28-10-2023,Barcelona,1 - 2,Real Madrid
416,05-11-2023,Real Madrid,0 - 0,Vallecano
417,11-11-2023,Real Madrid,5 - 1,Valencia
418,26-11-2023,Cadiz,0 - 3,Real Madrid
419,02-12-2023,Real Madrid,2 - 0,Granada
420,09-12-2023,Betis,1 - 1,Real Madrid
421,17-12-2023,Real Madrid,4 - 1,Villarreal
422,21-12-2023,Alaves,0 - 1,Real Madrid
423,03-01-2024,Real Madrid,1 - 0,Mallorca
424,21-01-2024,Real Madrid,3 - 2,Almeria
425,27-01-2024,Las Palmas,1 - 2,Real Madrid
426,01-02-2024,Getafe,0 - 2,Real Madrid
427,04-02-2024,Real Madrid,1 - 1,Ath Madrid
428,10-02-2024,Real Madrid,4 - 0,Girona
429,18-02-2024,Vallecano,1 - 1,Real Madrid
430,25-02-2024,Real Madrid,1 - 0,Sevilla
431,02-03-2024,Valencia,2 - 2,Real Madrid
432,10-03-2024,Real Madrid,4 - 0,Celta
433,16-03-2024,Osasuna,? - ?,Real Madrid
434,11-08-2023,Sevilla,1 - 2,Valencia
435,21-08-2023,Alaves,4 - 3,Sevilla
436,26-08-2023,Sevilla,1 - 2,Girona
437,17-09-2023,Sevilla,1 - 0,Las Palmas
438,23-09-2023,Osasuna,0 - 0,Sevilla
439,26-09-2023,Sevilla,5 - 1,Almeria
440,29-09-2023,Barcelona,1 - 0,Sevilla
441,07-10-2023,Sevilla,2 - 2,Vallecano
442,21-10-2023,Sevilla,1 - 1,Real Madrid
443,28-10-2023,Cadiz,2 - 2,Sevilla
444,04-11-2023,Celta,1 - 1,Sevilla
445,12-11-2023,Sevilla,1 - 1,Betis
446,26-11-2023,Sociedad,2 - 1,Sevilla
447,03-12-2023,Sevilla,1 - 1,Villarreal
448,09-12-2023,Mallorca,1 - 0,Sevilla
449,16-12-2023,Sevilla,0 - 3,Getafe
450,19-12-2023,Granada,0 - 3,Sevilla
451,23-12-2023,Ath Madrid,1 - 0,Sevilla
452,04-01-2024,Sevilla,0 - 2,Ath Bilbao
453,12-01-2024,Sevilla,2 - 3,Alaves
454,21-01-2024,Girona,5 - 1,Sevilla
455,28-01-2024,Sevilla,1 - 1,Osasuna
456,05-02-2024,Vallecano,1 - 2,Sevilla
457,11-02-2024,Sevilla,1 - 0,Ath Madrid
458,17-02-2024,Valencia,0 - 0,Sevilla
459,25-02-2024,Real Madrid,1 - 0,Sevilla
460,02-03-2024,Sevilla,3 - 2,Sociedad
461,11-03-2024,Almeria,2 - 2,Sevilla
462,17-03-2024,Sevilla,? - ?,Celta
463,12-08-2023,Sociedad,1 - 1,Girona
464,19-08-2023,Sociedad,1 - 1,Celta
465,25-08-2023,Las Palmas,0 - 0,Sociedad
466,02-09-2023,Sociedad,5 - 3,Granada
467,17-09-2023,Real Madrid,2 - 1,Sociedad
468,24-09-2023,Sociedad,4 - 3,Getafe
469,27-09-2023,Valencia,0 - 1,Sociedad
470,30-09-2023,Sociedad,3 - 0,Ath Bilbao
471,08-10-2023,Ath Madrid,2 - 1,Sociedad
472,21-10-2023,Sociedad,1 - 0,Mallorca
473,29-10-2023,Vallecano,2 - 2,Sociedad
474,04-11-2023,Sociedad,0 - 1,Barcelona
475,11-11-2023,Almeria,1 - 3,Sociedad
476,26-11-2023,Sociedad,2 - 1,Sevilla
477,02-12-2023,Osasuna,1 - 1,Sociedad
478,09-12-2023,Villarreal,0 - 3,Sociedad
479,17-12-2023,Sociedad,0 - 0,Betis
480,21-12-2023,Cadiz,0 - 0,Sociedad
481,02-01-2024,Sociedad,1 - 1,Alaves
482,13-01-2024,Ath Bilbao,2 - 1,Sociedad
483,20-01-2024,Celta,0 - 1,Sociedad
484,27-01-2024,Sociedad,0 - 0,Vallecano
485,03-02-2024,Girona,0 - 0,Sociedad
486,10-02-2024,Sociedad,0 - 1,Osasuna
487,18-02-2024,Mallorca,1 - 2,Sociedad
488,23-02-2024,Sociedad,1 - 3,Villarreal
489,02-03-2024,Sevilla,3 - 2,Sociedad
490,09-03-2024,Granada,2 - 3,Sociedad
491,15-03-2024,Sociedad,? - ?,Cadiz
492,11-08-2023,Sevilla,1 - 2,Valencia
493,18-08-2023,Valencia,1 - 0,Las Palmas
494,27-08-2023,Valencia,1 - 2,Osasuna
495,02-09-2023,Alaves,1 - 0,Valencia
496,16-09-2023,Valencia,3 - 0,Ath Madrid
497,23-09-2023,Almeria,2 - 2,Valencia
498,27-09-2023,Valencia,0 - 1,Sociedad
499,01-10-2023,Betis,3 - 0,Valencia
500,07-10-2023,Mallorca,1 - 1,Valencia
501,23-10-2023,Valencia,2 - 0,Cadiz
502,29-10-2023,Ath Bilbao,2 - 2,Valencia
503,05-11-2023,Valencia,1 - 0,Granada
504,11-11-2023,Real Madrid,5 - 1,Valencia
505,25-11-2023,Valencia,0 - 0,Celta
506,02-12-2023,Girona,2 - 1,Valencia
507,08-12-2023,Getafe,1 - 0,Valencia
508,16-12-2023,Valencia,1 - 1,Barcelona
509,19-12-2023,Vallecano,0 - 1,Valencia
510,02-01-2024,Valencia,3 - 1,Villarreal
511,14-01-2024,Cadiz,1 - 4,Valencia
512,20-01-2024,Valencia,1 - 0,Ath Bilbao
513,28-01-2024,Ath Madrid,2 - 0,Valencia
514,03-02-2024,Valencia,2 - 1,Almeria
515,10-02-2024,Las Palmas,2 - 0,Valencia
516,17-02-2024,Valencia,0 - 0,Sevilla
517,02-03-2024,Valencia,2 - 2,Real Madrid
518,09-03-2024,Valencia,1 - 0,Getafe
519,11-08-2023,Almeria,0 - 2,Vallecano
520,21-08-2023,Granada,0 - 2,Vallecano
521,28-08-2023,Vallecano,0 - 7,Ath Madrid
522,02-09-2023,Betis,1 - 0,Vallecano
523,15-09-2023,Vallecano,2 - 0,Alaves
524,24-09-2023,Vallecano,1 - 1,Villarreal
525,27-09-2023,Cadiz,0 - 0,Vallecano
526,30-09-2023,Vallecano,2 - 2,Mallorca
527,07-10-2023,Sevilla,2 - 2,Vallecano
528,22-10-2023,Las Palmas,0 - 1,Vallecano
529,29-10-2023,Vallecano,2 - 2,Sociedad
530,05-11-2023,Real Madrid,0 - 0,Vallecano
531,11-11-2023,Vallecano,1 - 2,Girona
532,25-11-2023,Vallecano,1 - 1,Barcelona
533,02-12-2023,Ath Bilbao,4 - 0,Vallecano
534,11-12-2023,Vallecano,0 - 0,Celta
535,15-12-2023,Osasuna,1 - 0,Vallecano
536,19-12-2023,Vallecano,0 - 1,Valencia
537,02-01-2024,Getafe,0 - 2,Vallecano
538,20-01-2024,Vallecano,0 - 2,Las Palmas
539,27-01-2024,Sociedad,0 - 0,Vallecano
540,31-01-2024,Ath Madrid,2 - 1,Vallecano
541,05-02-2024,Vallecano,1 - 2,Sevilla
542,11-02-2024,Mallorca,2 - 1,Vallecano
543,18-02-2024,Vallecano,1 - 1,Real Madrid
544,26-02-2024,Girona,3 - 0,Vallecano
545,02-03-2024,Vallecano,1 - 1,Cadiz
546,10-03-2024,Alaves,1 - 0,Vallecano
547,17-03-2024,Vallecano,? - ?,Betis
548,13-08-2023,Villarreal,1 - 2,Betis
549,18-08-2023,Mallorca,0 - 1,Villarreal
550,27-08-2023,Villarreal,3 - 4,Barcelona
551,01-09-2023,Cadiz,3 - 1,Villarreal
552,17-09-2023,Villarreal,2 - 1,Almeria
553,24-09-2023,Vallecano,1 - 1,Villarreal
554,27-09-2023,Villarreal,1 - 2,Girona
555,30-09-2023,Getafe,0 - 0,Villarreal
556,08-10-2023,Villarreal,1 - 2,Las Palmas
557,22-10-2023,Villarreal,1 - 1,Alaves
558,30-10-2023,Granada,2 - 3,Villarreal
559,05-11-2023,Villarreal,2 - 3,Ath Bilbao
560,12-11-2023,Ath Madrid,3 - 1,Villarreal
561,26-11-2023,Villarreal,3 - 1,Osasuna
562,03-12-2023,Sevilla,1 - 1,Villarreal
563,09-12-2023,Villarreal,0 - 3,Sociedad
564,17-12-2023,Real Madrid,4 - 1,Villarreal
565,20-12-2023,Villarreal,3 - 2,Celta
566,02-01-2024,Valencia,3 - 1,Villarreal
567,13-01-2024,Las Palmas,3 - 0,Villarreal
568,20-01-2024,Villarreal,1 - 1,Mallorca
569,27-01-2024,Barcelona,3 - 5,Villarreal
570,04-02-2024,Villarreal,0 - 0,Cadiz
571,10-02-2024,Alaves,1 - 1,Villarreal
572,16-02-2024,Villarreal,1 - 1,Getafe
573,23-02-2024,Sociedad,1 - 3,Villarreal
574,03-03-2024,Villarreal,5 - 1,Granada
575,10-03-2024,Betis,2 - 3,Villarreal
